Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
0,28.47398567199707,6.184999479410624e-06,6.708245865193789e-05,4.3834167566899605e-06,4.3834167566899605e-06,4.56561174360104e-05,0.00012279970301948932,8.658770163657591e-08,1.5100876526548209e-05,Horomaka,basaltic,Quaternary,Paleocene,1
-1,30.50910186767577,6.4859816551686674e-06,5.702845986548116e-05,4.809531197993933e-06,4.809531197993933e-06,4.3369811464799575e-05,0.00011372682673622012,1.6181088800180116e-06,1.2833044324522087e-05,Horomaka,basaltic,Pliocene,Pliocene,1
0,30.509101867675785,6.502726914458353e-06,6.28325185506438e-05,4.830037819082468e-06,4.830037819082468e-06,4.3369811464799575e-05,0.00012265835723495534,1.691676921803616e-06,1.4620755228054081e-05,Horomaka,basaltic,Pliocene,Pliocene,1
-1,30.509101867675792,6.493710937755938e-06,5.682805773293554e-05,4.818996651264103e-06,4.818996651264103e-06,4.3369811464799575e-05,0.0001137978954548753,1.652066442245994e-06,1.2672657143136368e-05,Horomaka,trachytic & andesitic,Pliocene,Pliocene,1
0,30.50910186767578,6.227209733968563e-06,6.714930743724815e-05,4.492633284106684e-06,4.492633284106684e-06,4.3369811464799575e-05,0.0001267491878323453,4.812292902515559e-07,1.53786672621759e-05,Horomaka,peralkaline,Pliocene,Pliocene,1
0,67.77305603027344,8.059840904089024e-06,7.958047286104393e-05,5.0655321483570745e-06,5.0655321483570745e-06,1.840695684387786e-05,5.177274208572154e-05,2.2857950789425723e-06,9.646864143247804e-05,Lord Howe,basaltic,Pliocene,Miocene,1
0,66.848388671875,8.033926891909976e-06,9.182759715914085e-05,4.929175285593222e-06,4.929175285593222e-06,1.7428679454920034e-05,5.0200619810716715e-05,2.0563727422520985e-06,8.194611244233474e-05,Lord Howe,basaltic,Pliocene,Miocene,1
-1,66.848388671875,8.035182220582748e-06,9.010535152701532e-05,4.902964195969291e-06,4.902964195969291e-06,1.7465525292900804e-05,4.9965822854676615e-05,1.959535189770304e-06,8.148877205660054e-05,Lord Howe,basaltic,Pliocene,Miocene,1
0,66.848388671875,8.033275452850585e-06,9.172503565305514e-05,4.942777243343936e-06,4.942777243343936e-06,1.7444834808119196e-05,5.025179361532736e-05,2.1066255290090925e-06,8.211236439169263e-05,Lord Howe,basaltic,Pliocene,Miocene,1
0,66.84838867187499,8.0333763241073e-06,9.113493094567779e-05,4.940671065410082e-06,4.940671065410082e-06,1.7463781694404676e-05,5.020268002630447e-05,2.098844199841484e-06,8.20360019575736e-05,Lord Howe,basaltic,Pliocene,Miocene,1
0,66.848388671875,8.03412933790195e-06,9.149472821715532e-05,4.924948241190667e-06,4.924948241190667e-06,1.743657020992724e-05,5.015956791832665e-05,2.0407558167427643e-06,8.186544692301832e-05,Lord Howe,basaltic,Pliocene,Miocene,1
-1,66.848388671875,8.033108269077086e-06,8.898515398322827e-05,4.9462680174860714e-06,4.9462680174860714e-06,1.7545013598659578e-05,5.008324308354447e-05,2.1195222848876623e-06,8.191700300827409e-05,Lord Howe,basaltic,Quaternary,Miocene,1
0,66.85533280568279,8.03287639428163e-06,8.990543426426192e-05,4.951109531248221e-06,4.951109531248221e-06,1.761082362401752e-05,5.082875972509501e-05,2.137409383431077e-06,8.293009003590993e-05,Lord Howe,basaltic,Pliocene,Miocene,1
