Sample_ID,Nd143_Nd144,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridsubserp,gridslabtop,gridslabage,gridslabdip,gridslabthick,gridslabvel,gridslabsubage,vol
4,,27.215429306030273,6.10935876466101e-06,,4.125430223211879e-06,,4.619950414053165e-05,,,,,,,,26.414401633628785,
2,,105.41190338134766,9.135560503636952e-06,6.924436638655607e-05,3.8838229556859005e-06,4.08188279834576e-05,5.503949978447054e-06,3.913833552360302e-05,0.0007180715805197128,,32.786720275878906,22.0197696685791,225093.375,0.0008747678948566318,26.28544056663503,
1,,27.17650413513184,6.106165528763086e-06,1.8164827451982998e-05,4.1991575017164e-06,8.466526651318418e-06,4.5643602788914e-05,5.269175744615495e-06,3.360871263950149e-06,,,,,,25.34513200249025,
5,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
1,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
1,,25.64670753479004,6.071097686799477e-06,7.956816352816531e-05,4.3579038901953035e-06,4.7337818614323623e-05,4.293576785130426e-05,0.00015532509314652998,1.9571254385055568e-05,,84.04566955566406,30.05903434753418,106685.640625,0.0406794399023056,40.0,
3,,28.516202926635746,6.260420377657282e-06,7.240177319545182e-05,4.43429189544986e-06,4.049022891194909e-05,4.704485399997793e-05,0.0001141398229265178,1.9786034617772302e-05,,70.25953674316406,26.85482978820801,203693.625,0.025821741670370102,41.46630407891244,
3,,25.64670753479004,6.071097686799477e-06,7.956816352816531e-05,4.3579038901953035e-06,4.7337818614323623e-05,4.293576785130426e-05,0.00015532509314652998,1.9571254385055568e-05,,84.04566955566406,30.05903434753418,106685.640625,0.0406794399023056,40.0,
4,,25.64670753479004,6.071097686799477e-06,8.480419865009026e-05,4.3579038901953035e-06,5.187904162085033e-05,4.293576785130426e-05,0.00016803906510176603,1.9757868670276387e-05,,84.91511535644531,30.61950874328613,106904.984375,0.04338466376066208,40.0,
1,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
4,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
4,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
5,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
1,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
1,,25.64670753479004,6.071097686799477e-06,8.480419865009026e-05,4.3579038901953035e-06,5.187904162085033e-05,4.293576785130426e-05,0.00016803906510176603,1.9757868670276387e-05,,84.91511535644531,30.61950874328613,106904.984375,0.04338466376066208,40.0,
5,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
2,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
1,,25.64670753479004,6.071097686799477e-06,7.956816352816531e-05,4.3579038901953035e-06,4.7337818614323623e-05,4.293576785130426e-05,0.00015532509314652998,1.9571254385055568e-05,,84.04566955566406,30.05903434753418,106685.640625,0.0406794399023056,40.0,
5,,121.65018463134766,8.882994734449312e-06,2.5664418444648614e-05,3.7294582853064635e-06,1.755522498569917e-05,0.0001293349050683901,7.191077111201594e-05,2.8399217277054893e-06,,,,,,39.0,
4,,25.64670753479004,6.071097686799477e-06,7.956816352816531e-05,4.3579038901953035e-06,4.7337818614323623e-05,4.293576785130426e-05,0.00015532509314652998,1.9571254385055568e-05,,84.04566955566406,30.05903434753418,106685.640625,0.0406794399023056,40.0,
4,,26.55291175842285,6.080173989175819e-06,1.8076570995617655e-05,4.196404916001484e-06,8.438901204499416e-06,4.482586882659234e-05,5.269175744615495e-06,3.3667425198540837e-06,,69.31267547607422,56.46980667114258,101652.859375,0.18089205026626587,29.54226937831828,
2,,25.64670753479004,6.071097686799477e-06,7.956816352816531e-05,4.3579038901953035e-06,4.7337818614323623e-05,4.293576785130426e-05,0.00015532509314652998,1.9571254385055568e-05,,84.04566955566406,30.05903434753418,106685.640625,0.0406794399023056,40.0,
