Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp
32257,GNS P (P),40894,Whakaari,Surface,,,,,1981-01-01 00:00:00,Decade,"Lloyd, E.F. & Nathan, S.",New Zealand,,,,-29.2578,177.9378,,50.0,"cliffs halfway along Denham Bay, Raoul Island",Yes,hyalopilitic basalt,,,D'Arcy Formation,basaltic,Quaternary,Quaternary,hand specimen & normal thin section,166,whole rock,,14990;2079,"Gabites, J.E.;Lloyd, E.F.",geochron methods;wet chem,K-Ar;,INS;Auckland U,R6882;,"January 1, 1981;January 1, 1981",Decade;Year,Lloyd & Nathan 1981;Lloyd and Nathan 1981,,K-Ar isochron age,0.0,0.4,52.88,1.26,14.15,,,1.96,11.5,0.28,5.49,8.99,2.35,0.47,0.17,,0.56,,,,100.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.0,177.9378,-29.257800000000003,0.0,839.0,27.324569505126924,6.103516711618341e-06,0.0,4.127833715191628e-06,4.127833715191628e-06,4.599214443078378e-05,0.0,0.0,0.0
125909,GNS P (P),79818,Arc,Surface,,,,LS1,40220,,"Foley, F. & Turnbull, I.M.",New Zealand,B47,2039822.36203875,5386753.09329367,-46.5703959273922,166.865367832868,,20.0,"Little Solander Island, intertidal zone, extreme E end island",Yes,"Plag, amph porphyritic andesite",N 7,Solander Island Volcanics,Solander Lava,andesitic & lava flow,Quaternary,Quaternary,hand specimen:GNS & powder & extra:GNS box 157 & extra:Macquarie U,7866,whole rock,,99877;95932;99957,"Mortimer, N.;Mortimer, N.;Mortimer, N.",XRF;ICP-MS dissolution;ICP-MS fused bead,Ar-Ar,WSU;ALS Brisbane;WSU,0212MOR;BR12088276;MOR326,"January 10, 2013;January 21, 2012;January 20, 2013",;;,Mortimer et al 2013 J Geol,,"Duplicate check4 acid digest, ME-MS61",0.036,0.014,58.61,0.88,16.35,4.45,4.77,,,0.09,3.76,7.74,4.17,2.71,0.57,,,,,0.18,99.34,1.2,807.0,184.42,101.0,53.0,0.41,10.0,3.81,1.48,3.54,21.0,7.5,6.23,0.64,91.31,0.19,18.66,84.15,35.0,5.33,22.16,49.6,13.5,12.72,2127.0,1.13,0.83,20.16,0.21,5.24,141.0,16.61,1.26,42.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.036,167.17499415294958,-46.71496502464011,1.0,81315.0,105.38564236019384,9.135560503636952e-06,6.733157586118901e-05,3.8838229556859005e-06,3.8838229556859005e-06,5.503949978447053e-06,3.8101606352184154e-05,0.0,0.0005928901710937258
169088,other,RVAN-17-13.1,Arc,Dredge,Nesmeyanov-N17-13,,,,,,"Ballance, P.F.",Offshore Regions,,,,-30.9,179.114,,,Western Kermadec Ridge into Havre Trough,,,,,,,,,,,whole rock,,44839,"Itaya, T.",geochron methods,K-Ar,Okayama University of Science,S25-152,32874,Decade,"Ballance et al 1999, Marine Geology",,,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,179.03300970374437,-31.23799189942288,1.0,839.0,27.209710488293105,6.104442867448845e-06,1.9648932808164813e-05,4.1982994536352465e-06,4.1982994536352465e-06,4.548826645665799e-05,5.841862791719802e-06,0.0,3.6734280408788622e-06
106981,other,BFH-MP112,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800700.00000175,6430400.00004854,-37.2825417398132,176.275247198328,,50.0,"NE lava shield segment, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1673,whole rock,,16458,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.053,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.053,176.2694187580832,-37.569659428092905,1.0,8065.0,93.31309636730481,8.456935515896715e-06,1.912059833784895e-05,3.848394311456925e-06,3.848394311456925e-06,0.00012084339537403568,5.0181346131098724e-05,0.0,2.374594090212294e-06
107013,other,BFH-MP279,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800700.00000175,6430400.00004854,-37.2825417398132,176.275247198328,,50.0,"NE lava shield, Oturu dike Ar1, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1676,whole rock,,16491,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.0555,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.0555,176.2694187580832,-37.569659428092905,1.0,8065.0,93.31309636730481,8.456935515896715e-06,1.912059833784895e-05,3.848394311456925e-06,3.848394311456925e-06,0.00012084339537403568,5.0181346131098724e-05,0.0,2.374594090212294e-06
106870,ANU (GA),2873,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2675431.00000121,6476864.00005519,-36.8967310666204,174.851666596529,,50.0,Mt. Wellington,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16308;16309,"Stipp, J.J.;McDougall, I.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2873;GA2873,"January 1, 1968;January 1, 1969",Decade;Decade,Stipp 1968;McDougall et al. 1969,,,0.059,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.059,174.83647920060267,-37.19295003824806,1.0,8065.0,25.12995370363682,6.06163848293427e-06,8.057789845504497e-05,4.400678840583165e-06,4.400678840583165e-06,4.293576785130426e-05,0.0001583090931146364,0.0,1.9555584479745095e-05
105348,Auckland University (AU),44032,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,P06,2583500.00000076,6635600.00006831,-35.4797499786152,173.801601281202,,,"Tauanui, thick flow in quarry, Picadilly Road",Yes,alkali basalt,,Kerikeri Volcanic Group,Northland Basalts,basaltic,Quaternary,Quaternary,hand specimen,1479,whole rock,,14305,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44032,"January 1, 1993",Decade,Smith et al. 1993,,,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.06,173.7687001829766,-35.782598129893344,1.0,8065.0,29.134780986954055,6.260420377657283e-06,7.087280334534093e-05,4.43429189544986e-06,4.43429189544986e-06,4.704485399997793e-05,0.00011396392503568657,0.0,1.9203415320483604e-05
106875,ANU (GA),2878,Horomaka,Surface,,,,,1968-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,R11,2675354.00000115,6474122.00005477,-36.9214484844172,174.85146148792,,50.0,"McLennans Hills, Auckland",Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1662,whole rock,,16320;16321,"Stipp, J.J.;McDougall, I.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2878;GA2878,"January 1, 1968;January 1, 1969",Decade;Decade,Stipp 1968;McDougall et al. 1969,,,0.061,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.061,174.83651861646496,-37.21766798019012,1.0,8065.0,25.090158882807785,6.0612822707018466e-06,8.091668357722306e-05,4.402289648510201e-06,4.402289648510201e-06,4.293576785130426e-05,0.00015889885479403686,0.0,1.9594303772519077e-05
106866,ANU (GA),2868,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2676081.00000114,6464223.00005323,-37.0104872840772,174.86200880988,,50.0,Mt. Wiri,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16298;16299,"McDougall, I.;Stipp, J.J.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2868;GA2868,"January 1, 1969;January 1, 1968",Decade;Decade,McDougall et al. 1969;Stipp 1968,,,0.062,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.062,174.847992054513,-37.30663732070779,1.0,8065.0,24.927341811718833,6.058198458131341e-06,8.227962893659538e-05,4.416234789305194e-06,4.416234789305194e-06,4.293576785130426e-05,0.00016160212471297313,0.0,1.9681873122638948e-05
106984,other,BFH-MP117,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U13,2797400.00000176,6429900.00004844,-37.2881263679737,176.238263195309,,50.0,"Western lava shield segment, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1673,whole rock,,16461,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.063,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.063,176.2323508826053,-37.57548227438431,1.0,8065.0,98.75144175554873,8.53870316840724e-06,2.2658379020732418e-05,3.82556856509638e-06,3.82556856509638e-06,0.00012052519118169892,6.199337385665948e-05,0.0,2.6303527825168225e-06
