Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,gridslabtop,gridslabage,gridslabdip,gridslabthick,gridslabvel,gridslabsubage
105376,Auckland University (AU),42565,Whakaari,Surface,,,,,1992-01-01 00:00:00,Decade,"Black, P.M.",New Zealand,S10,2703400.00000145,6490300.00005734,-36.7698798083605,175.16164057644,,,Stony Batter,Yes,pyroxene basaltic andesite,,Kiwitahi Volcanic Group,Kiwitahi Volcanics,andesitic & basaltic,Miocene,Miocene,hand specimen & normal thin section,1482,whole rock,,14334;14333,"Smith, I.E.M.;Black, P.M.",geochron methods;geochron methods,K-Ar;K-Ar,HRI;HRI,AU42565;S20-214,"January 1, 1993;January 1, 1992",Decade;Decade,Smith et al. 1993;Black et al. 1992,,,8.34,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,0,175.16164057644,-36.7698798083605,0.0,8065.0,25.293373107910156,6.069093615224119e-06,6.823018520663027e-05,4.236891527398257e-06,4.339766883276752e-05,4.295734106563032e-05,0.00017050408041541232,0.0,1.0546111301552998e-05,210.0,82.59881591796875,31.302839279174805,106305.125,0.04704862833023071,39.92414592276279
106471,INS R (R),3225,Horomaka,Surface,,,,,1977-01-01 00:00:00,Decade,"Grindley, G.W.",New Zealand,,,,-44.0494,176.6597,,50.0,"100m N of Kiringe St. mouth, Chatham Island",Yes,basalt dike,,,Southern Volcanics,basaltic & hypabyssal: basic,Cretaceous,Cretaceous,hand specimen,1612,whole rock,,15767,"Adams, C.J.",geochron methods,K-Ar,INS,R3225,"January 1, 1977",Decade,Grindley et al. 1977,,orig rep as 76Ma recalc using S&J77 decay constants,77.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,0,176.6597,-44.0494,0.0,813.0,109.0804214477539,8.967184840003029e-06,3.741713635463384e-05,3.7759991755592637e-06,2.0417123778315727e-05,6.8091912908130325e-06,6.79001423122827e-05,0.0,2.331737288920067e-05,260.0,39.14313507080078,25.111377716064453,79542.15625,0.02147514559328556,56.04438244857891
99053,other,CHT-03,Horomaka,Surface,,,,3,2005-01-01 00:00:00,Year,"Blusztajn, J. & Hart, S.R. & Panter, K.S.",New Zealand,,,,-43.8019147958887,176.648117569747,GPS - Field,10.0,Ohira Bay,Yes,Alkali Basalt Lava ,,,,basaltic & lava flow,Cretaceous,Cretaceous,"hand specimen:Bowling Green State University, Geology Department",5333,whole rock,,64607;64581;64568,"Panter, K.S.;Panter, K.S.;Panter, K.S.",TIMS;XRF;geochron methods,;;Ar-Ar,New Mexico Tech;New Mex Tech;New Mex Tech,;;,"January 1, 2005;January 1, 2005;January 1, 2005",Year;Decade;Decade,;;,Panter et al 2006,,84.09,0.96,45.03,3.33,12.26,12.98,,,,0.19,11.26,9.06,3.27,1.53,1.08,,,,,0.72,99.98,,447,141.7,,378,0.4,48,,,4.08,24,,9.37,,67.5,0.32,79,65.1,345,4.58,,31,18.4,13.65,1046.0,4.92,1.53,6.84,,2.08,225.0,38.0,2.42,134.0,412,,,,,,,0.0858,0.703001,1.6e-05,0.1272,0.512832,1e-05,,,,20.78,,15.734,,40.144,,,0.7029,0.512762,4.5,,,20.411,15.716,39.746,,145.0,0,176.648117569747,-43.8019147958887,0.0,813.0,109.0804214477539,8.967184840003029e-06,3.732520463017863e-05,3.7759991755592637e-06,2.0310721993155312e-05,6.8091912908130325e-06,6.03168173256563e-05,0.0,1.8971950135810017e-05,260.0,44.893707275390625,25.174636840820312,85062.5,0.020477041602134705,32.93394176862215
105371,Auckland University (AU),43811,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,Q08,2647800.00000119,6564800.000067,-36.109390213734,174.52396902518,,,"Mangawhai, Wintles bush reserve, Tara Road",Yes,hawaiite,,Kerikeri Volcanic Group,Northland Basalts,trachytic & andesitic,Quaternary,Quaternary,hand specimen,1482,whole rock,,14328,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU43811,"January 1, 1993",Decade,Smith et al. 1993,,,0.74,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1,174.49981055344648,-36.40769973224735,1.0,8065.0,26.30181121826172,6.071097686799476e-06,7.699949082962121e-05,4.357903890195303e-06,4.4231489482626785e-05,4.293576785130426e-05,0.00014108240884525003,0.0,1.8883017063842674e-05,700.0,77.34025573730469,30.331926345825195,104736.8046875,0.04282226413488388,40.0
107104,other,DJR-269b,Horomaka,Surface,,,,,32509,Decade,"Robertson, D.J.",New Zealand,S15,2699000.00000085,6341900.00003506,-38.1076701834088,175.153225642904,,50.0,Turitea Quarry,Yes,basanite,,Okete Volcanic Formation,Alexandra Volcanics,basanitic,Pliocene,Pliocene,,1686,whole rock,,16600,"Robertson, D.J.",geochron methods,K-Ar,INS,,"January 1, 1989",Decade,Briggs et al. 1989,,,3.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1,175.15146843104836,-38.40194019990871,1.0,8065.0,122.20045471191406,8.985532076621894e-06,9.752744972502114e-05,3.729482841663412e-06,6.057014115867787e-05,0.00018100377928931266,0.0001710782303234737,0.0,2.6126074711903416e-05,150.0,86.18882751464844,26.101009368896484,107213.5,0.020842330530285835,41.16115778139727
105355,Auckland University (AU),44024,Horomaka,Surface,,,,,1993-01-01 00:00:00,Decade,"Smith, I.E.M.",New Zealand,Q06,2626600.00000105,6618000.00006933,-35.6332514323835,174.279404216939,,,"Apotu Centre, Apotu Road",Yes,quartz tholeiite,,Kerikeri Volcanic Group,Northland Basalts,basaltic,Pliocene,Pliocene,hand specimen,1480,whole rock,,14312,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44024,"January 1, 1993",Decade,Smith et al. 1993,,,4.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1,174.24975273725966,-35.93311086917686,1.0,8065.0,27.858152389526367,6.127519554866012e-06,7.798866818120587e-05,4.3581208046816755e-06,4.4802535285271006e-05,4.293576785130426e-05,0.00014352999460243154,0.0,1.842476671862739e-05,700.0,77.34025573730469,30.577224731445312,104736.8046875,0.04406803101301193,38.717517489386964
249254,other,SO168-DR3-1,Horomaka,Dredge,Sonne 168-3,,,SO168-DR3-1,37606,,"Hoernle, K. & Mortimer, N. & Werner, R.",Offshore Regions,,,,-42.7515,179.986,,50.0,"Graveyard Seamount, NE flank",Yes,"Nephelinite, low silica group",,,,basaltic,Quaternary,Paleocene,unknown,10607,whole rock,,139788;139602;139684,"Timm, C.;Timm, C.;Timm, C.",ICP-MS;TIMS;XRF,;;,Kiel U;Kiel U;Kiel U,;;,"January 1, 2010;January 1, 2010;January 1, 2010",Year;Year;Year,Timm et al 2010,,Step heat,8.7,0.45,36.76,4.13,8.0,,,1.48,13.19,0.49,15.08,13.96,1.21,1.29,2.05,,2.5,,0.29,,100.43,,512,113,104.0,597,0.36,81.9,5.3,2.14,2.8,16.8,7.88,5.46,0.89,56.9,0.22,97.2,51.5,490,15.5,13.4,37,24.2,9.71,773.0,5.56,1.1,6.21,0.27,2.41,327.0,29.4,1.59,139.0,256,,,,,,,,0.703492,2e-06,,0.512852,2e-06,,,,19.499,0.008,15.636,0.006,39.427,0.016,,,,,,,,,,,66.0,1,-179.5124768333007,-42.965231066969984,1.0,813.0,122.79608917236328,9.039509677677415e-06,2.5318291591247544e-05,3.730150865521864e-06,1.1624989838310285e-05,5.4482992709381506e-05,1.631553914194228e-05,0.0,1.0657344641230764e-05,120.0,0.0,0.0,0.0,0.0,8.552983535753603
105600,INS R (R),10502,Horomaka,Surface,,,,,32143,Decade,"Sewell, R.J.",New Zealand,M36,2485100.0000001,5726099.99997057,-43.6738059553548,172.690973391512,,,"Bradley Park, Banks Peninsula",Yes,hawaiite,,Mount Herbert Volcanic Group,Orton Bradley,trachytic & andesitic,Miocene,Miocene,hand specimen,1509,whole rock,,14611,"Sewell, R.J.",geochron methods,K-Ar,INS,R10502,"January 1, 1988",Decade,Sewell 1988,,,9.5,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,1,173.16382280030857,-43.87087197217459,1.0,813.0,109.69253540039062,9.110744940699078e-06,6.510571984108537e-05,3.729564014065545e-06,3.424749229452573e-05,7.157688742154278e-06,6.231392512745515e-05,0.0,2.7071083619476695e-05,260.0,51.67469787597656,24.113887786865234,186282.15625,0.012962589971721172,53.25802359218779
171544,Otago University (OU),20686,Horomaka,Surface,,,,20686,39448,Decade,"Adams, C.J. & Coombs, D.S.",New Zealand,I44,2323500.0000014,5499399.99995117,-45.6902611861697,170.607034598073,"Map - 1:50,000 scale",50.0,Omimi Creek,Yes,neph trachyandesite,,Dunedin Volcanic Group,Dunedin Volcanic Group,trachytic & andesitic,Miocene,Miocene,hand specimen,5479,whole rock,,66846;66803,"Coombs, D.S.;Adams, C.J.",XRF;geochron methods,;K-Ar,Otago U;INS,;,"January 1, 2008;January 1, 2008",Decade;Decade,;,,,11.1,0.2,48.13,2.35,16.25,,11.31,,,0.22,4.43,5.96,6.51,3.08,0.7,,,,,1.08,100.02,,501,190,,51,,30,,,,27,,,,118,,134,84,41,13,16.0,98,11,,845.0,,,23,,6,140.0,39.0,,120.0,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,1,171.06256707792625,-45.881953249414245,1.0,813.0,109.69253540039062,8.954369150160346e-06,6.828064260844258e-05,3.866585757350549e-06,4.867268307862105e-05,7.319186806853395e-06,5.058111196376558e-05,0.0,0.10942356964309155,240.0,32.586490631103516,22.204071044921875,72604.65625,0.0022276747040450573,69.33020091127463
105286,Auckland University (AU),46268,Whakaari,Surface,,,,R06,1996-01-01 00:00:00,Year,"Nicholson, K.N.",New Zealand,T08,2734400.00000187,6559700.00006669,-36.1373597581151,175.486873890711,,50.0,Rakitu. Black and White Rock.,Yes,Basalt,,Coromandel Group,,basaltic & lava flow,Miocene,Miocene,hand specimen & normal thin section,1473,whole rock,,54214;14228,"Nicholson, K.N.;",XRF;geochron methods,;K-Ar,Auckland U;INS,;,"January 1, 1996;January 1, 1996",Year;Decade,Nicholson MSc 1996;,,Fe2/Fe3 reported as fixed,12.1,0.2,48.9,1.99,15.54,,,1.78,8.88,0.19,7.09,9.07,3.33,0.42,0.25,,,1.11,,1.07,99.62,,94,26,,74,,61,,,,,,,,10,,6,,61,1,,8,,,215.0,,,1,,0,256.0,40.0,,94.0,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,1,175.46660639197142,-36.42956951219325,1.0,8065.0,24.500659942626953,6.017342002451187e-06,4.7373482175316894e-05,4.600989541359013e-06,3.1056631087267306e-05,4.293576785130426e-05,0.00014219951572158607,0.0,4.789762570058876e-06,700.0,0.0,0.0,0.0,0.0,39.09685459270785
