Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp
106890,ANU (GA),3165,Horomaka,Surface,,,,,1971-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,P05,2606408.0000009,6657534.00006491,-35.2796224857195,174.050768785778,,50.0,Haruru Falls,Yes,basalt,,Kerikeri Volcanic Group,Horeke Basalt,basaltic,Quaternary,Quaternary,hand specimen,1663,whole rock,,16348,"Stipp, J.J.",geochron methods,K-Ar,ANU,GA3165,"January 1, 1971",Decade,Stipp & Thompson 1971,,,1.27,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0,174.050768785778,-35.2796224857195,0.0,8065.0,29.42547021004981,6.274594187738845e-06,7.645980498185062e-05,4.440474169647722e-06,4.440474169647722e-06,4.7228004405042157e-05,0.00013510137186757516,0.0,2.2864047988512215e-05
107296,other,JJS-2045,Horomaka,Surface,,,,,1989-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,R15,2667000.00000072,6357000.00003708,-37.9781485014346,174.784854302058,,50.0,Taranaki Point,Yes,olivine tholeiite,,Okete Volcanic Formation,Alexandra Volcanics,basaltic,Pliocene,Pliocene,,1714,whole rock,,16928,"Stipp, J.J.",geochron methods,K-Ar,ANU,,"January 1, 1989",Decade,Briggs et al. 1989,,average,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,0,174.784854302058,-37.9781485014346,0.0,8065.0,123.51957296266778,8.623026367950323e-06,7.70174479624992e-05,3.7848216051020362e-06,3.7848216051020362e-06,5.3649655732606466e-05,0.0001392028630172702,0.0,1.9108658383215677e-05
105321,Auckland University (AU),44059,Horomaka,Surface,,,,,1993-01-01 00:00:00,Decade,"Smith, I.E.M.",New Zealand,P05,2598600.00000081,6664500.00006328,-35.2177469843149,173.964017172691,,,"Kerikeri, flow",Yes,transitional basalt,,Kerikeri Volcanic Group,Northland Basalts,basaltic,Pliocene,Pliocene,hand specimen,1477,whole rock,,14278,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44059,"January 1, 1993",Decade,Smith et al. 1993,,,3.46,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,0,173.964017172691,-35.2177469843149,0.0,8065.0,29.76077651977539,6.385110525310942e-06,7.692086850163683e-05,4.5280895424428384e-06,4.5280895424428384e-06,4.7225235112316866e-05,0.00014138445328991855,0.0,2.2314522182481496e-05
249253,other,FouldenV2A,Horomaka,Surface,,,,Foulden V2A,37987,Year,"Timm, C.",New Zealand,I43,2292442.29288123,5514899.87032981,-45.5422152285645,170.215216378477,,,Foulden Hill,Yes,"Basalt, low silica group",,Dunedin Volcanic Group,,basaltic,Quaternary,Paleocene,unknown,10616,whole rock,,139837;139740,"Timm, C.;Timm, C.",ICP-MS;XRF,;,Kiel U;Kiel U,;,"January 1, 2010;January 1, 2010",Year;Year,Timm et al 2010;Timm et al 2010,,,23.17,0.37,45.66,2.62,14.47,,,1.34,11.89,0.19,8.28,8.87,3.97,1.61,0.71,,0.71,,1.1,,101.42,,484,111,46.5,192,0.91,48.4,5.27,2.28,2.69,20,7.78,5.78,0.93,56.8,0.25,74.6,47.2,148,3.54,12.6,35.7,16.9,8.63,889.0,4.04,1.04,7.24,0.29,1.81,186.0,24.2,1.8,112.0,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0,170.215216378477,-45.5422152285645,0.0,813.0,111.27628326416016,8.853429790178778e-06,5.183308926996157e-05,3.856769581034314e-06,3.856769581034314e-06,6.4866635511862106e-06,2.1714894294441447e-05,0.0,0.00017203856291805528
100567,GNS P (P),78640,Back arc basin,Dredge,GEORSTOM3-324,,,GEORSTOM3-324D3,25933,Year,ORSTOM,Offshore Regions,,,,-16.7719361256874,162.843174725423,,1000.0,"D'Entrecasteaux Zone, western part. GEORSTOM-3 NORD dredge site 324",Yes,"Medium grained doleritic, equigranular basalt",N 5,,,basaltic,Miocene,Cretaceous,hand specimen & normal thin section & powder & grain mount:GNS box 227,6162,whole rock,,73776;75175;73756,"Mortimer, N.;Mortimer, N.;Mortimer, N.",ICP-MS laser;XRF;XRF,Ar-Ar plag,Otago U;Otago U;Otago U,;;,"January 8, 2010;January 28, 2010;January 25, 2010",;;,Mortimer et al 2014 Tectonics,,Low quality,49.0,10,49.31,1.41,16.7,,10.75,,,0.15,6.52,12.23,2.19,0.17,0.07,,,,,0.418,99.932,8.1,63,15,76.0,302,0.08,136,4.38,2.66,1.21,19,3.49,2.14,0.96,12,0.42,7,6,142,5,1.8,10,31,3.25,164.0,0.25,0.71,2,0.45,2,243.0,28.0,2.52,83.0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,0,162.843174725423,-16.7719361256874,0.0,861.0,58.43886743276584,7.758203537377995e-06,1.80325561333152e-05,5.1976112445117906e-06,5.1976112445117906e-06,1.2400562349549635e-05,1.9338421843114273e-05,2.8149815043434507e-06,4.0212677263096515e-06
169089,other,RVAN-17-13.2,Arc,Dredge,Nesmeyanov-N17-13,,,,,,"Ballance, P.F.",Offshore Regions,,,,-30.9,179.114,,,Western Kermadec Ridge into Havre Trough,,,,,,,,,,,whole rock,,44840,"Itaya, T.",geochron methods,K-Ar,Okayama University of Science,S25-154,32874,Decade,"Ballance et al 1999, Marine Geology",,,0.15,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,179.03300970374437,-31.23799189942288,1.0,839.0,27.209710488293105,6.104442867448845e-06,1.9648932808164813e-05,4.1982994536352465e-06,4.1982994536352465e-06,4.548826645665799e-05,5.841862791719802e-06,0.0,3.6734280408788622e-06
105433,Auckland University (AU),41603,Horomaka,Surface,,,,,34335,Decade,"Briggs, R.M.",New Zealand,R12,2687200.00000115,6446300.00005049,-37.1697280433603,174.991517860041,,,Stevenson's Quarry (Bombay),Yes,nepheline hawaiite,,Kerikeri Volcanic Group,Bombay Basalts,trachytic & andesitic,Quaternary,Quaternary,hand specimen & normal thin section,1489,whole rock,A,14400,"Briggs, R.M.",geochron methods,K-Ar,HRI,S16-146,"January 1, 1994",Decade,Briggs et al. 1994,,,1.32,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1,174.97959589888873,-37.465053574964536,1.0,8065.0,24.500659942626953,6.021042356290156e-06,8.11066062509055e-05,4.584256372887865e-06,4.584256372887865e-06,4.293576785130426e-05,0.00015566568714105356,0.0,1.9846129504678404e-05
107299,other,JJS-2048,Arc,Surface,,,,,1989-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,R15,2665700.00000075,6367000.0000385,-37.8883038170845,174.767738811704,,50.0,"Karioi, Marumaruaitu Stream",Yes,basalt,,Karioi Volcanic Formation,Karioi Volcanics,basaltic,Pliocene,Pliocene,,1715,whole rock,,16931,"Stipp, J.J.",geochron methods,K-Ar,ANU,,"January 1, 1989",Decade,Briggs et al. 1989,,average age only,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1,174.76218378430386,-38.18502164563304,1.0,8065.0,107.56663323558482,8.244803098909202e-06,7.423361536677265e-05,3.943753633873043e-06,3.943753633873043e-06,0.0001706636212790175,0.0001406104195926929,0.0,1.7000816119955988e-05
105380,Auckland University (AU),42561,Whakaari,Surface,,,,,1992-01-01 00:00:00,Decade,"Black, P.M.",New Zealand,T14,2738200.00000121,6374300.0000398,-37.8063271481772,175.589250127073,,,Maungakawa,Yes,pyroxene basaltic andesite,,Kiwitahi Volcanic Group,Kiwitahi Volcanics,andesitic & basaltic,Pliocene,Miocene,hand specimen & normal thin section,1483,whole rock,,14340,"Black, P.M.",geochron methods,K-Ar,HRI,S20-149,"January 1, 1992",Decade,Black et al. 1992,,,5.76,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,1,175.58613080952782,-38.09783023383929,1.0,8065.0,122.19401204865493,8.936783411232116e-06,7.972611979677102e-05,3.7294711669934556e-06,3.7294711669934556e-06,0.00015460879530461904,0.00015095180380422113,0.0,2.0907090141642714e-05
105513,Otago University (OU),22483,Horomaka,Surface,,,,,26665,Decade,"Coombs, D.S. & McDougall, I.",New Zealand,J44,2330759.00000131,5490702.99995136,-45.7702990081722,170.697116445155,,,"Second Main, North Head",Yes,phonolite,,Dunedin Volcanic Group,Dunedin Volcanic Group,peralkaline & trachytic,Miocene,Miocene,hand specimen,1498,whole rock,,14497,"Coombs, D.S.",geochron methods,K-Ar,ANU,GA1464,"January 1, 1973",Decade,McDougall & Coombs 1973,,age pub as 11.75 Ma recalculated for PETLAB using S&J77 decay constants,12.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,1,171.15252543776623,-45.96222756722319,1.0,813.0,109.69253540039062,8.954369150160348e-06,6.182698920441161e-05,3.866585757350549e-06,3.866585757350549e-06,7.319186806853395e-06,4.647322192151084e-05,0.0,0.027122783083028658
