Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp
32257,GNS P (P),40894,Whakaari,Surface,,,,,1981-01-01 00:00:00,Decade,"Lloyd, E.F. & Nathan, S.",New Zealand,,,,-20.16886121017528,169.12375961971108,,50.0,"cliffs halfway along Denham Bay, Raoul Island",Yes,hyalopilitic basalt,,,D'Arcy Formation,basaltic,Quaternary,Quaternary,hand specimen & normal thin section,166,whole rock,,14990;2079,"Gabites, J.E.;Lloyd, E.F.",geochron methods;wet chem,K-Ar;,INS;Auckland U,R6882;,"January 1, 1981;January 1, 1981",Decade;Year,Lloyd & Nathan 1981;Lloyd and Nathan 1981,,K-Ar isochron age,0.0,0.4,52.88,1.26,14.15,,,1.96,11.5,0.28,5.49,8.99,2.35,0.47,0.17,,0.56,,,,100.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.0,169.12375961971108,-20.16886121017528,0.0,827.0,38.74810791015625,7.166116076308774e-06,3.303352203230796e-05,4.089296882971589e-06,4.089296882971589e-06,3.9488710172008716e-05,9.569237282269676e-05,0.0,7.3356134291862854e-06
125909,GNS P (P),79818,Arc,Surface,,,,LS1,40220,,"Foley, F. & Turnbull, I.M.",New Zealand,B47,2039822.36203875,5386753.09329367,-43.950903354434196,155.23026788283485,,20.0,"Little Solander Island, intertidal zone, extreme E end island",Yes,"Plag, amph porphyritic andesite",N 7,Solander Island Volcanics,Solander Lava,andesitic & lava flow,Quaternary,Quaternary,hand specimen:GNS & powder & extra:GNS box 157 & extra:Macquarie U,7866,whole rock,,99877;95932;99957,"Mortimer, N.;Mortimer, N.;Mortimer, N.",XRF;ICP-MS dissolution;ICP-MS fused bead,Ar-Ar,WSU;ALS Brisbane;WSU,0212MOR;BR12088276;MOR326,"January 10, 2013;January 21, 2012;January 20, 2013",;;,Mortimer et al 2013 J Geol,,"Duplicate check4 acid digest, ME-MS61",0.036,0.014,58.61,0.88,16.35,4.45,4.77,,,0.09,3.76,7.74,4.17,2.71,0.57,,,,,0.18,99.34,1.2,807,184.42,101.0,53,0.41,10,3.81,1.48,3.54,21,7.5,6.23,0.64,91.31,0.19,18.66,84.15,35,5.33,22.16,49.6,13.5,12.72,2127.0,1.13,0.83,20.16,0.21,5.24,141.0,16.61,1.26,42.0,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.036,155.13550354755196,-44.42867066883167,1.0,801.0,63.63774751396549,7.72393437780716e-06,2.339344169749146e-05,4.591171160844819e-06,4.591171160844819e-06,1.7932936316356063e-05,2.277189673485303e-05,0.0,0.0
169088,other,RVAN-17-13.1,Arc,Dredge,Nesmeyanov-N17-13,,,,,,"Ballance, P.F.",Offshore Regions,,,,-50.22255918446646,150.6051632920432,,,Western Kermadec Ridge into Havre Trough,,,,,,,,,,,whole rock,,44839,"Itaya, T.",geochron methods,K-Ar,Okayama University of Science,S25-152,32874,Decade,"Ballance et al 1999, Marine Geology",,,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,150.52131168490388,-50.718430874230265,1.0,801.0,57.88271533213958,7.747796169064862e-06,0.000152694064966218,7.278373996149922e-06,7.278373996149922e-06,4.3897744705604336e-05,1.4235337486652887e-05,5.097636952996254e-06,3.2133094475791664e-05
106981,other,BFH-MP112,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800700.00000175,6430400.00004854,-49.19684928918212,166.89696495598403,,50.0,"NE lava shield segment, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1673,whole rock,,16458,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.053,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.053,167.31815472708666,-49.378341093932406,1.0,813.0,63.17108410931929,7.735326891202974e-06,3.665172767035652e-05,5.705081518669277e-06,5.705081518669277e-06,1.190851162391482e-05,1.5726793271070276e-05,3.7782845728658344e-06,1.0031769900395335e-05
107013,other,BFH-MP279,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U12,2800700.00000175,6430400.00004854,-12.049010023620106,164.42043453129858,,50.0,"NE lava shield, Oturu dike Ar1, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1676,whole rock,,16491,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.0555,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.0555,164.15724741304027,-12.482131018934417,1.0,861.0,36.49786442253434,7.029874899465816e-06,4.368498918034694e-05,4.7959761527597905e-06,4.7959761527597905e-06,3.897861097357236e-05,0.0001901089643887618,0.0,3.5007426729427285e-05
106870,ANU (GA),2873,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2675431.00000121,6476864.00005519,-31.967252217815503,174.25250827557986,,50.0,Mt. Wellington,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16308;16309,"Stipp, J.J.;McDougall, I.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2873;GA2873,"January 1, 1968;January 1, 1969",Decade;Decade,Stipp 1968;McDougall et al. 1969,,,0.059,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.059,174.16342618409442,-32.339364321856145,1.0,835.0,33.64352825049203,6.727914432363479e-06,2.4780998984475813e-05,5.1243136226362165e-06,5.1243136226362165e-06,4.471472570302764e-05,1.0043892912506065e-05,2.639011734029144e-06,6.4397694150657444e-06
105348,Auckland University (AU),44032,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,P06,2583500.00000076,6635600.00006831,-11.196590459325563,169.88371237433878,,,"Tauanui, thick flow in quarry, Picadilly Road",Yes,alkali basalt,,Kerikeri Volcanic Group,Northland Basalts,basaltic,Quaternary,Quaternary,hand specimen,1479,whole rock,,14305,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44032,"January 1, 1993",Decade,Smith et al. 1993,,,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.06,170.4635878834182,-11.38653095753635,1.0,824.0,8.428827666727983,4.368839759159729e-06,6.426886073632784e-05,4.2193433193149545e-06,4.2193433193149545e-06,1.6558034221288526e-05,5.873084640849853e-05,0.0,5.765085371383884e-05
106875,ANU (GA),2878,Horomaka,Surface,,,,,1968-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,R11,2675354.00000115,6474122.00005477,-24.437739361688294,148.90181353042956,,50.0,"McLennans Hills, Auckland",Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1662,whole rock,,16320;16321,"Stipp, J.J.;McDougall, I.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2878;GA2878,"January 1, 1968;January 1, 1969",Decade;Decade,Stipp 1968;McDougall et al. 1969,,,0.061,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.061,148.65679704774305,-24.939744668568142,1.0,801.0,57.45106887817383,7.743075912003404e-06,0.00016574568573961127,4.493033884500618e-06,4.493033884500618e-06,4.5560715079773204e-05,0.0001387304734822663,0.0,0.005014601381779051
106866,ANU (GA),2868,Horomaka,Surface,,,,,1969-01-01 00:00:00,Decade,"McDougall, I.",New Zealand,R11,2676081.00000114,6464223.00005323,-41.60660670772257,150.61970076530076,,50.0,Mt. Wiri,Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1661,whole rock,,16298;16299,"McDougall, I.;Stipp, J.J.",geochron methods;geochron methods,K-Ar;K-Ar,ANU;ANU,GA2868;GA2868,"January 1, 1969;January 1, 1968",Decade;Decade,McDougall et al. 1969;Stipp 1968,,,0.062,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.062,150.47099660688852,-42.10254178188114,1.0,801.0,76.58335826012451,8.338973398857788e-06,3.2898775378308756e-05,4.727965082846657e-06,4.727965082846657e-06,4.0472452383255586e-05,1.7401478700814145e-05,0.0,1.3484272427074158e-05
106984,other,BFH-MP117,Horomaka,Surface,,,,,33604,Decade,"Houghton, B.F.",New Zealand,U13,2797400.00000176,6429900.00004844,-45.416399595209526,160.76728908531757,,50.0,"Western lava shield segment, Mayor Island",Yes,peralkaline lava,,Oira Pyroclastite,Mayor Island volcanics,peralkaline,Quaternary,Quaternary,,1673,whole rock,,16461,"Houghton, B.F.",geochron methods,K-Ar,USGS,,"January 1, 1992",Decade,Houghton et al. 1992,,,0.063,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.063,160.73108226529362,-45.86824185218139,1.0,833.0,64.43580423879949,7.711497924760716e-06,4.607768166739872e-05,4.501706433132658e-06,4.501706433132658e-06,1.3142304266181292e-05,2.0839337302655236e-05,0.0,0.0
